est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
26,0.79,2.0,2.0,4,beta,non_mono_cut
11,0.88,1.0,2.0,2,pareto,mono_cut
9,0.86,2.0,1.0,3,beta,mono_cut
10,0.82,1.0,1.0,1,beta,mono_cut
0,0.8,1.0,1.0,1,beta,no_cut
9,0.78,2.0,1.0,3,beta,mono_cut
0,0.52,1.0,2.0,2,beta,no_cut
0,0.5,,,0,ac,no_cut
1,0.74,1.0,2.0,2,beta,mono_cut
15,0.82,1.0,1.0,1,beta,non_mono_cut
6,0.8,1.0,1.0,1,beta,mono_cut
0,0.85,2.0,2.0,4,pareto,no_cut
15,0.71,1.0,1.0,1,pareto,non_mono_cut
0,0.74,1.0,2.0,2,beta,no_cut
0,0.38,1.0,1.0,1,pareto,no_cut
0,0.78,2.0,1.0,3,beta,no_cut
21,0.6,2.0,2.0,4,beta,non_mono_cut
15,0.91,1.0,2.0,2,pareto,mono_cut
10,0.57,2.0,2.0,4,pareto,non_mono_cut
20,0.38,1.0,1.0,1,pareto,non_mono_cut
0,0.44,2.0,1.0,3,pareto,no_cut
5,0.6,2.0,2.0,4,beta,mono_cut
0,0.96,2.0,1.0,3,pareto,no_cut
0,0.88,1.0,2.0,2,pareto,no_cut
1,0.71,1.0,1.0,1,pareto,mono_cut
18,0.38,1.0,1.0,1,pareto,mono_cut
20,0.8,1.0,1.0,1,beta,non_mono_cut
0,0.91,1.0,2.0,2,pareto,no_cut
0,0.57,2.0,2.0,4,pareto,no_cut
19,0.52,1.0,2.0,2,beta,mono_cut
0,0.71,1.0,1.0,1,pareto,no_cut
15,0.44,2.0,1.0,3,pareto,mono_cut
19,0.85,2.0,2.0,4,pareto,mono_cut
0,0.82,1.0,1.0,1,beta,no_cut
16,0.96,2.0,1.0,3,pareto,mono_cut
14,0.79,2.0,2.0,4,beta,mono_cut
0,0.86,2.0,1.0,3,beta,no_cut
20,0.85,2.0,2.0,4,pareto,non_mono_cut
0,0.6,2.0,2.0,4,beta,no_cut
0,0.56,,,0,ac,no_cut
0,0.79,2.0,2.0,4,beta,no_cut
1,0.57,2.0,2.0,4,pareto,mono_cut
