pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
13,1,45.0,34.0,1,1,1,pareto,no_cut
13,2,29.0,66.0,2,1,3,beta,mono_cut
13,3,53.0,28.999999999999996,1,2,2,pareto,mono_cut
13,4,16.0,80.0,2,2,4,beta,non_mono_cut
13,5,30.0,59.0,1,2,2,beta,non_mono_cut
13,6,37.0,37.0,1,2,2,pareto,no_cut
13,7,38.0,42.0,1,1,1,pareto,non_mono_cut
13,8,16.0,80.0,2,2,4,beta,no_cut
13,9,17.0,77.0,1,1,1,beta,no_cut
13,10,31.0,42.0,2,2,4,pareto,no_cut
13,11,37.0,37.0,1,2,2,pareto,non_mono_cut
13,12,18.0,78.0,1,1,1,beta,no_cut
13,13,19.0,79.0,2,2,4,beta,mono_cut
13,14,19.0,79.0,2,2,4,beta,non_mono_cut
13,15,37.0,37.0,1,2,2,pareto,mono_cut
13,16,50.0,50.0,1,1,0,ac,no_cut
13,17,54.0,30.0,2,1,3,pareto,non_mono_cut
13,18,56.0,36.0,2,1,3,pareto,no_cut
13,19,31.0,42.0,2,2,4,pareto,non_mono_cut
13,20,17.0,77.0,1,1,1,beta,mono_cut
13,21,29.0,66.0,2,1,3,beta,no_cut
13,22,40.0,56.00000000000001,1,1,0,ac,no_cut
13,23,53.0,28.999999999999996,1,2,2,pareto,non_mono_cut
13,24,31.0,42.0,2,2,4,pareto,mono_cut
13,25,16.0,80.0,2,1,3,beta,no_cut
13,26,18.0,78.0,1,1,1,beta,non_mono_cut
13,27,54.0,30.0,2,1,3,pareto,mono_cut
13,28,54.0,30.0,2,1,3,pareto,no_cut
13,29,38.0,42.0,1,1,1,pareto,mono_cut
13,30,42.0,32.0,2,2,4,pareto,no_cut
13,31,30.0,59.0,1,2,2,beta,no_cut
13,32,53.0,28.999999999999996,1,2,2,pareto,no_cut
13,33,16.0,80.0,2,1,3,beta,mono_cut
13,34,42.0,32.0,2,2,4,pareto,mono_cut
13,35,16.0,80.0,2,1,3,beta,non_mono_cut
13,36,16.0,80.0,2,2,4,beta,mono_cut
13,37,56.0,36.0,2,1,3,pareto,non_mono_cut
13,38,42.0,32.0,2,2,4,pareto,non_mono_cut
13,39,17.0,77.0,1,1,1,beta,non_mono_cut
13,40,38.0,42.0,1,1,1,pareto,no_cut
13,41,56.0,36.0,2,1,3,pareto,mono_cut
13,42,22.0,74.0,1,2,2,beta,no_cut
