pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,rel,dist,cut
92,1,17.0,78.0,1,1,1,beta,nc
92,2,20.0,78.0,2,2,4,beta,nc
92,3,25.0,73.0,2,1,3,beta,nc
92,4,15.0,75.0,1,1,1,pareto,nc
92,5,22.0,74.0,1,2,2,beta,mc
92,6,11.0,69.0,1,1,1,pareto,nc
92,7,20.0,78.0,2,2,4,beta,nmc
92,8,45.0,33.0,2,1,3,pareto,nc
92,9,54.0,28.000000000000004,2,2,4,pareto,nc
92,10,25.0,71.0,1,2,2,beta,mc
92,11,54.0,28.000000000000004,2,2,4,pareto,mc
92,12,18.0,80.0,1,1,1,beta,nmc
92,13,45.0,53.0,2,1,3,pareto,mc
92,14,11.0,69.0,1,1,1,pareto,mc
92,15,25.0,71.0,1,2,2,beta,nc
92,16,45.0,33.0,2,1,3,pareto,mc
92,17,17.0,78.0,1,1,1,beta,mc
92,18,9.0,71.0,2,2,4,pareto,mc
92,19,27.0,66.0,2,1,3,beta,mc
92,20,27.0,66.0,2,1,3,beta,nc
92,21,50.0,50.0,1,1,0,ac,nc
92,22,23.0,72.0,2,2,4,beta,mc
92,23,9.0,71.0,2,2,4,pareto,nmc
92,24,18.0,80.0,1,1,1,beta,nc
92,25,23.0,72.0,2,2,4,beta,nmc
92,26,20.0,78.0,2,2,4,beta,mc
92,27,22.0,74.0,1,2,2,beta,nc
92,28,40.0,56.00000000000001,1,1,0,ac,nc
92,29,60.0,39.0,1,2,2,pareto,nc
92,30,15.0,75.0,1,1,1,pareto,nmc
92,31,49.0,43.0,1,2,2,pareto,nc
92,32,45.0,53.0,2,1,3,pareto,nc
92,33,54.0,28.000000000000004,2,2,4,pareto,nmc
92,34,11.0,69.0,1,1,1,pareto,nmc
92,35,23.0,72.0,2,2,4,beta,nc
92,36,25.0,73.0,2,1,3,beta,mc
92,37,15.0,75.0,1,1,1,pareto,mc
92,38,18.0,80.0,1,1,1,beta,mc
92,39,49.0,43.0,1,2,2,pareto,mc
92,40,17.0,78.0,1,1,1,beta,nmc
92,41,9.0,71.0,2,2,4,pareto,nc
92,42,60.0,39.0,1,2,2,pareto,mc
