pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,rel,dist,cut
0,1,27.0,69.0,2,1,3,beta,nc
0,2,54.0,43.0,1,2,2,pareto,nc
0,3,40.0,49.0,1,2,2,pareto,mc
0,4,50.0,50.0,1,1,0,ac,nc
0,5,29.0,55.00000000000001,2,2,4,pareto,nc
0,6,10.0,88.0,2,2,4,beta,nmc
0,7,45.0,33.0,1,1,1,pareto,mc
0,8,27.0,69.0,2,1,3,beta,mc
0,9,52.0,31.0,2,2,4,pareto,mc
0,10,25.0,70.0,2,1,3,beta,mc
0,11,40.0,49.0,1,2,2,pareto,nc
0,12,54.0,43.0,1,2,2,pareto,mc
0,13,20.0,74.0,1,1,1,beta,mc
0,14,32.0,52.0,1,1,1,pareto,nmc
0,15,52.0,31.0,2,2,4,pareto,nmc
0,16,25.0,70.0,2,1,3,beta,nc
0,17,45.0,33.0,1,1,1,pareto,nmc
0,18,19.0,72.0,2,2,4,beta,nc
0,19,32.0,52.0,1,1,1,pareto,mc
0,20,21.0,51.0,2,1,3,pareto,nc
0,21,29.0,66.0,1,2,2,beta,nc
0,22,32.0,52.0,1,1,1,pareto,nc
0,23,20.0,74.0,1,1,1,beta,nc
0,24,24.0,70.0,1,1,1,beta,nc
0,25,40.0,56.00000000000001,1,1,0,ac,nc
0,26,29.0,67.0,1,2,2,beta,nc
0,27,21.0,51.0,2,1,3,pareto,mc
0,28,10.0,88.0,2,2,4,beta,nc
0,29,19.0,72.0,2,2,4,beta,nmc
0,30,68.0,27.0,2,1,3,pareto,nc
0,31,52.0,31.0,2,2,4,pareto,nc
0,32,29.0,67.0,1,2,2,beta,mc
0,33,29.0,55.00000000000001,2,2,4,pareto,mc
0,34,29.0,66.0,1,2,2,beta,mc
0,35,24.0,70.0,1,1,1,beta,nmc
0,36,10.0,88.0,2,2,4,beta,mc
0,37,19.0,72.0,2,2,4,beta,mc
0,38,29.0,55.00000000000001,2,2,4,pareto,nmc
0,39,20.0,74.0,1,1,1,beta,nmc
0,40,45.0,33.0,1,1,1,pareto,nc
0,41,68.0,27.0,2,1,3,pareto,mc
0,42,24.0,70.0,1,1,1,beta,mc
1,1,20.0,51.0,2,2,4,pareto,mc
1,2,57.0,27.0,1,2,2,pareto,nc
1,3,34.0,59.0,2,1,3,pareto,mc
1,4,16.0,82.0,1,2,2,beta,nc
1,5,52.0,30.0,1,1,1,pareto,nc
1,6,24.0,70.0,1,1,1,beta,nc
1,7,17.0,78.0,2,1,3,beta,nc
1,8,52.0,30.0,1,1,1,pareto,mc
1,9,34.0,59.0,2,1,3,pareto,nc
1,10,20.0,78.0,2,2,4,beta,mc
1,11,22.0,50.0,2,2,4,pareto,nmc
1,12,27.0,49.0,1,2,2,pareto,nc
1,13,17.0,73.0,2,1,3,beta,nc
1,14,20.0,51.0,2,2,4,pareto,nc
1,15,37.0,60.0,2,1,3,pareto,nc
1,16,22.0,50.0,2,2,4,pareto,nc
1,17,26.0,69.0,2,2,4,beta,nmc
1,18,24.0,70.0,1,1,1,beta,nmc
1,19,26.0,69.0,2,2,4,beta,nc
1,20,50.0,50.0,1,1,0,ac,nc
1,21,20.0,78.0,2,2,4,beta,nmc
1,22,23.0,73.0,1,2,2,beta,mc
1,23,57.0,27.0,1,2,2,pareto,mc
1,24,24.0,70.0,1,1,1,beta,mc
1,25,26.0,69.0,2,2,4,beta,mc
1,26,17.0,78.0,2,1,3,beta,mc
1,27,20.0,78.0,2,2,4,beta,nc
1,28,52.0,30.0,1,1,1,pareto,nmc
1,29,16.0,82.0,1,2,2,beta,mc
1,30,73.0,27.0,1,1,1,pareto,mc
1,31,73.0,27.0,1,1,1,pareto,nc
1,32,20.0,51.0,2,2,4,pareto,nmc
1,33,27.0,49.0,1,2,2,pareto,mc
1,34,37.0,60.0,2,1,3,pareto,mc
1,35,73.0,27.0,1,1,1,pareto,nmc
1,36,22.0,50.0,2,2,4,pareto,mc
1,37,40.0,56.00000000000001,1,1,0,ac,nc
1,38,17.0,73.0,2,1,3,beta,mc
1,39,20.0,73.0,1,1,1,beta,nmc
1,40,20.0,73.0,1,1,1,beta,nc
1,41,20.0,73.0,1,1,1,beta,mc
1,42,23.0,73.0,1,2,2,beta,nc
2,1,46.0,47.0,2,2,4,pareto,nmc
2,2,34.0,38.0,1,1,1,pareto,nc
2,3,13.0,83.0,2,2,4,beta,nmc
2,4,49.0,42.0,2,1,3,pareto,nc
2,5,74.0,23.0,1,1,1,pareto,mc
2,6,74.0,23.0,1,1,1,pareto,nmc
2,7,28.0,46.0,2,2,4,pareto,nc
2,8,12.0,81.0,2,1,3,beta,nc
2,9,34.0,38.0,1,1,1,pareto,nmc
2,10,74.0,23.0,1,1,1,pareto,nc
2,11,28.0,46.0,2,2,4,pareto,mc
2,12,13.0,85.0,1,2,2,beta,nc
2,13,13.0,83.0,2,2,4,beta,mc
2,14,12.0,81.0,2,1,3,beta,mc
2,15,20.0,76.0,1,1,1,beta,nc
2,16,26.0,70.0,1,1,1,beta,nc
2,17,26.0,70.0,1,1,1,beta,mc
2,18,21.0,77.0,2,2,4,beta,mc
2,19,50.0,50.0,1,1,0,ac,nc
2,20,44.0,38.0,2,1,3,pareto,mc
2,21,34.0,38.0,1,1,1,pareto,mc
2,22,21.0,50.0,1,2,2,pareto,mc
2,23,49.0,42.0,2,1,3,pareto,mc
2,24,26.0,70.0,1,1,1,beta,nmc
2,25,15.0,84.0,1,2,2,beta,nc
2,26,11.0,88.0,2,1,3,beta,nc
2,27,20.0,76.0,1,1,1,beta,mc
2,28,44.0,38.0,2,1,3,pareto,nc
2,29,40.0,56.00000000000001,1,1,0,ac,nc
2,30,11.0,88.0,2,1,3,beta,mc
2,31,31.0,68.0,1,2,2,pareto,mc
2,32,21.0,77.0,2,2,4,beta,nmc
2,33,21.0,77.0,2,2,4,beta,nc
2,34,21.0,50.0,1,2,2,pareto,nc
2,35,20.0,76.0,1,1,1,beta,nmc
2,36,31.0,68.0,1,2,2,pareto,nc
2,37,13.0,83.0,2,2,4,beta,nc
2,38,28.0,46.0,2,2,4,pareto,nmc
2,39,46.0,47.0,2,2,4,pareto,nc
2,40,13.0,85.0,1,2,2,beta,mc
2,41,46.0,47.0,2,2,4,pareto,mc
2,42,15.0,84.0,1,2,2,beta,mc
3,1,15.0,61.0,1,2,2,pareto,mc
3,2,14.0,80.0,2,1,3,beta,nc
3,3,64.0,33.0,1,2,2,pareto,nc
3,4,51.0,28.999999999999996,2,1,3,pareto,nc
3,5,54.0,41.0,1,1,1,pareto,nc
3,6,41.0,37.0,2,1,3,pareto,mc
3,7,57.0,28.000000000000004,1,1,1,pareto,mc
3,8,33.0,48.0,2,2,4,pareto,nc
3,9,57.0,28.000000000000004,2,2,4,pareto,mc
3,10,54.0,41.0,1,1,1,pareto,mc
3,11,50.0,50.0,1,1,0,ac,nc
3,12,20.0,76.0,1,2,2,beta,mc
3,13,21.0,77.0,2,2,4,beta,nc
3,14,25.0,72.0,2,2,4,beta,nc
3,15,37.0,53.0,1,1,1,beta,nc
3,16,25.0,72.0,2,2,4,beta,mc
3,17,33.0,48.0,2,2,4,pareto,nmc
3,18,18.0,77.0,2,1,3,beta,nc
3,19,27.0,69.0,1,1,1,beta,nc
3,20,57.0,28.000000000000004,1,1,1,pareto,nc
3,21,37.0,53.0,1,1,1,beta,nmc
3,22,27.0,69.0,1,1,1,beta,mc
3,23,33.0,48.0,2,2,4,pareto,mc
3,24,37.0,53.0,1,1,1,beta,mc
3,25,54.0,41.0,1,1,1,pareto,nmc
3,26,15.0,61.0,1,2,2,pareto,nc
3,27,20.0,76.0,1,2,2,beta,nc
3,28,40.0,56.00000000000001,1,1,0,ac,nc
3,29,41.0,37.0,2,1,3,pareto,nc
3,30,18.0,77.0,2,1,3,beta,mc
3,31,19.0,74.0,1,2,2,beta,mc
3,32,25.0,72.0,2,2,4,beta,nmc
3,33,21.0,77.0,2,2,4,beta,mc
3,34,27.0,69.0,1,1,1,beta,nmc
3,35,57.0,28.000000000000004,2,2,4,pareto,nc
3,36,14.0,80.0,2,1,3,beta,mc
3,37,19.0,74.0,1,2,2,beta,nc
3,38,64.0,33.0,1,2,2,pareto,mc
3,39,51.0,28.999999999999996,2,1,3,pareto,mc
3,40,57.0,28.000000000000004,1,1,1,pareto,nmc
3,41,57.0,28.000000000000004,2,2,4,pareto,nmc
3,42,21.0,77.0,2,2,4,beta,nmc
4,1,25.0,73.0,1,2,2,beta,nc
4,2,18.0,77.0,1,1,1,beta,nc
4,3,24.0,59.0,1,1,1,pareto,mc
4,4,18.0,77.0,1,1,1,beta,nmc
4,5,20.0,57.99999999999999,2,2,4,pareto,nc
4,6,50.0,50.0,1,1,0,ac,nc
4,7,38.0,34.0,1,2,2,pareto,mc
4,8,12.0,85.0,2,1,3,beta,mc
4,9,28.0,67.0,2,2,4,beta,nmc
4,10,12.0,85.0,2,1,3,beta,nc
4,11,26.0,69.0,2,2,4,beta,nmc
4,12,38.0,34.0,1,2,2,pareto,nc
4,13,52.0,38.0,1,1,1,pareto,nmc
4,14,43.0,38.0,2,2,4,pareto,nc
4,15,52.0,38.0,1,1,1,pareto,nc
4,16,52.0,38.0,1,1,1,pareto,mc
4,17,59.0,27.0,2,1,3,pareto,nc
4,18,28.0,67.0,2,2,4,beta,mc
4,19,43.0,38.0,2,2,4,pareto,mc
4,20,24.0,59.0,1,1,1,pareto,nmc
4,21,20.0,57.99999999999999,2,2,4,pareto,mc
4,22,14.0,80.0,1,1,1,beta,mc
4,23,31.0,47.0,1,2,2,pareto,mc
4,24,14.0,80.0,1,1,1,beta,nc
4,25,26.0,69.0,2,2,4,beta,mc
4,26,24.0,59.0,1,1,1,pareto,nc
4,27,59.0,27.0,2,1,3,pareto,mc
4,28,16.0,80.0,1,2,2,beta,mc
4,29,20.0,57.99999999999999,2,2,4,pareto,nmc
4,30,14.0,80.0,1,1,1,beta,nmc
4,31,25.0,47.0,2,1,3,pareto,mc
4,32,31.0,47.0,1,2,2,pareto,nc
4,33,18.0,77.0,1,1,1,beta,mc
