,est_gap,est_ratio,comp_gap,comp_ratio
0,17.0,0.66,1,1
1,21.0,0.64,1,2
2,21.0,0.64,1,2
3,8.0,0.86,1,2
4,50.0,0.5,1,2
5,6.0,0.84,2,1
6,2.0,0.93,1,1
7,12.0,0.64,2,1
8,7.0,0.87,2,1
9,2.0,0.93,1,1
10,10.0,0.81,1,1
11,7.0,0.87,2,1
12,8.0,0.86,1,2
13,12.0,0.64,2,1
14,24.0,0.61,2,2
15,14.0,0.81,1,2
16,48.0,0.45,2,2
17,14.0,0.81,1,2
18,22.0,0.58,2,1
19,5.0,0.87,2,2
20,24.0,0.61,2,2
21,8.0,0.86,1,2
22,10.0,0.81,1,1
23,4.0,0.84,1,2
24,12.0,0.64,2,1
25,21.0,0.64,1,2
26,48.0,0.45,2,2
27,7.0,0.87,2,1
28,22.0,0.58,2,1
29,4.0,0.84,1,2
30,6.0,0.84,2,1
31,40.0,0.56,1,2
32,6.0,0.84,2,1
33,5.0,0.87,1,1
34,5.0,0.87,2,2
35,2.0,0.92,2,2
36,14.0,0.81,1,2
37,4.0,0.84,1,2
38,2.0,0.92,2,2
39,22.0,0.58,2,1
40,17.0,0.66,1,1
41,5.0,0.87,1,1
