pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
0,1,17.0,66.0,1,2,2,pareto,1.0
0,2,21.0,64.0,1,1,1,pareto,
0,3,21.0,64.0,1,1,1,pareto,1.0
0,4,8.0,86.0,1,1,1,beta,
0,5,50.0,50.0,1,1,0,ac,
0,6,6.0,84.0,2,2,4,pareto,0.0
0,7,2.0,93.0,1,2,2,pareto,1.0
0,8,12.0,64.0,2,2,4,pareto,1.0
0,9,7.0,87.0,2,2,4,beta,0.0
0,10,2.0,93.0,1,2,2,pareto,
0,11,10.0,81.0,1,2,2,beta,1.0
0,12,7.0,87.0,2,2,4,beta,
0,13,8.0,86.0,1,1,1,beta,1.0
0,14,12.0,64.0,2,2,4,pareto,
0,15,24.0,61.0,2,1,3,beta,
0,16,14.0,81.0,1,1,1,beta,0.0
0,17,48.0,45.0,2,1,3,pareto,1.0
0,18,14.0,81.0,1,1,1,beta,1.0
0,19,22.0,57.99999999999999,2,2,4,beta,
0,20,5.0,87.0,2,1,3,beta,
0,21,24.0,61.0,2,1,3,beta,1.0
0,22,8.0,86.0,1,1,1,beta,0.0
0,23,10.0,81.0,1,2,2,beta,
0,24,4.0,84.0,1,1,1,pareto,
0,25,12.0,64.0,2,2,4,pareto,0.0
0,26,21.0,64.0,1,1,1,pareto,0.0
0,27,48.0,45.0,2,1,3,pareto,
0,28,7.0,87.0,2,2,4,beta,1.0
0,29,22.0,57.99999999999999,2,2,4,beta,0.0
0,30,4.0,84.0,1,1,1,pareto,1.0
0,31,6.0,84.0,2,2,4,pareto,
0,32,40.0,56.00000000000001,1,1,0,ac,
0,33,6.0,84.0,2,2,4,pareto,1.0
0,34,5.0,87.0,1,2,2,beta,1.0
0,35,5.0,87.0,2,1,3,beta,1.0
0,36,2.0,92.0,2,1,3,pareto,
0,37,14.0,81.0,1,1,1,beta,
0,38,4.0,84.0,1,1,1,pareto,0.0
0,39,2.0,92.0,2,1,3,pareto,1.0
0,40,22.0,57.99999999999999,2,2,4,beta,1.0
0,41,17.0,66.0,1,2,2,pareto,
0,42,5.0,87.0,1,2,2,beta,
1,1,16.0,77.0,2,2,4,beta,0.0
1,2,6.0,93.0,1,2,2,pareto,1.0
1,3,15.0,80.0,2,2,4,beta,
1,4,31.0,43.0,1,1,1,pareto,0.0
1,5,31.0,43.0,1,1,1,pareto,1.0
1,6,20.0,55.00000000000001,2,2,4,pareto,1.0
1,7,16.0,77.0,2,2,4,beta,
1,8,8.0,86.0,1,1,1,beta,
1,9,9.0,81.0,1,2,2,beta,1.0
1,10,0.0,100.0,1,2,2,pareto,1.0
1,11,9.0,81.0,1,2,2,beta,
1,12,31.0,43.0,1,1,1,pareto,
1,13,6.0,93.0,1,2,2,pareto,
1,14,35.0,56.00000000000001,2,1,3,beta,
1,15,50.0,50.0,1,1,0,ac,
1,16,2.0,94.0,1,2,2,beta,1.0
1,17,36.0,37.0,2,1,3,pareto,1.0
1,18,4.0,86.0,1,1,1,pareto,0.0
1,19,4.0,86.0,1,1,1,pareto,
1,20,35.0,56.00000000000001,2,1,3,beta,1.0
1,21,15.0,80.0,2,2,4,beta,1.0
1,22,36.0,37.0,2,1,3,pareto,
1,23,0.0,100.0,1,2,2,pareto,
1,24,40.0,56.00000000000001,1,1,0,ac,
1,25,8.0,86.0,1,1,1,beta,1.0
1,26,8.0,86.0,1,1,1,beta,0.0
1,27,16.0,77.0,2,2,4,beta,1.0
1,28,4.0,86.0,1,1,1,pareto,1.0
1,29,10.0,67.0,2,2,4,pareto,1.0
1,30,2.0,94.0,1,2,2,beta,
1,31,24.0,57.99999999999999,1,1,1,beta,
1,32,10.0,67.0,2,2,4,pareto,0.0
1,33,20.0,55.00000000000001,2,2,4,pareto,
1,34,24.0,57.99999999999999,1,1,1,beta,0.0
1,35,15.0,80.0,2,2,4,beta,0.0
1,36,18.0,74.0,2,1,3,beta,1.0
1,37,18.0,74.0,2,1,3,beta,
1,38,46.0,36.0,2,1,3,pareto,1.0
1,39,20.0,55.00000000000001,2,2,4,pareto,0.0
1,40,46.0,36.0,2,1,3,pareto,
1,41,24.0,57.99999999999999,1,1,1,beta,1.0
1,42,10.0,67.0,2,2,4,pareto,
2,1,30.0,57.99999999999999,2,2,4,beta,1.0
2,2,9.0,84.0,2,1,3,beta,
2,3,42.0,45.0,1,1,1,beta,0.0
2,4,69.0,25.0,1,1,1,pareto,0.0
2,5,36.0,39.0,2,2,4,pareto,0.0
2,6,24.0,59.0,2,1,3,beta,1.0
2,7,3.0,88.0,1,2,2,pareto,1.0
2,8,69.0,25.0,1,1,1,pareto,
2,9,15.0,65.0,2,1,3,pareto,1.0
2,10,26.0,49.0,1,2,2,beta,
2,11,50.0,50.0,1,1,0,ac,
2,12,27.0,45.0,1,2,2,pareto,
2,13,11.0,74.0,1,1,1,pareto,
2,14,30.0,57.99999999999999,2,2,4,beta,0.0
2,15,36.0,39.0,2,2,4,pareto,
2,16,69.0,25.0,1,1,1,pareto,1.0
2,17,29.0,52.0,2,2,4,beta,
2,18,24.0,63.0,1,1,1,beta,1.0
2,19,32.0,54.0,2,1,3,pareto,
2,20,10.0,74.0,2,2,4,pareto,
2,21,29.0,52.0,2,2,4,beta,1.0
2,22,25.0,64.0,1,2,2,beta,
2,23,24.0,63.0,1,1,1,beta,0.0
2,24,10.0,74.0,2,2,4,pareto,1.0
2,25,25.0,64.0,1,2,2,beta,1.0
2,26,29.0,52.0,2,2,4,beta,0.0
2,27,24.0,59.0,2,1,3,beta,
2,28,32.0,54.0,2,1,3,pareto,1.0
2,29,11.0,74.0,1,1,1,pareto,1.0
2,30,30.0,57.99999999999999,2,2,4,beta,
2,31,15.0,65.0,2,1,3,pareto,
2,32,42.0,45.0,1,1,1,beta,
2,33,9.0,84.0,2,1,3,beta,1.0
2,34,24.0,63.0,1,1,1,beta,
2,35,26.0,49.0,1,2,2,beta,1.0
2,36,36.0,39.0,2,2,4,pareto,1.0
2,37,27.0,45.0,1,2,2,pareto,1.0
2,38,40.0,56.00000000000001,1,1,0,ac,
2,39,42.0,45.0,1,1,1,beta,1.0
2,40,3.0,88.0,1,2,2,pareto,
2,41,10.0,74.0,2,2,4,pareto,0.0
2,42,11.0,74.0,1,1,1,pareto,0.0
3,1,9.0,84.0,2,2,4,beta,1.0
3,2,50.0,50.0,1,1,0,ac,
3,3,15.0,67.0,1,2,2,beta,1.0
3,4,23.0,67.0,2,2,4,beta,1.0
3,5,40.0,44.0,2,1,3,pareto,
3,6,6.0,77.0,1,1,1,pareto,0.0
3,7,14.0,79.0,2,1,3,beta,1.0
3,8,12.0,73.0,1,2,2,pareto,1.0
3,9,52.0,41.0,2,2,4,pareto,1.0
3,10,2.0,93.0,1,1,1,pareto,0.0
3,11,23.0,67.0,2,1,3,pareto,
